Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
151	TR	A0A8C9KQE6	non-specific serine/threonine protein kinase OS=Panthera tigris altaica OX=74533 PE=3 SV=1	Panthera tigris altaica	479	2537	99.4	99.8	0.0
152	TR	A0A9W2W399	non-specific serine/threonine protein kinase OS=Panthera pardus OX=9691 GN=AKT3 PE=3 SV=1	Panthera pardus	479	2537	99.4	99.8	0.0
153	TR	A0A6P6I2P9	non-specific serine/threonine protein kinase OS=Puma concolor OX=9696 GN=AKT3 PE=3 SV=1	Puma concolor	479	2537	99.4	99.8	0.0
154	TR	A0A667I174	non-specific serine/threonine protein kinase OS=Lynx canadensis OX=61383 GN=AKT3 PE=3 SV=1	Lynx canadensis	479	2537	99.4	99.8	0.0
155	TR	A0A8M1MET2	non-specific serine/threonine protein kinase OS=Neomonachus schauinslandi OX=29088 GN=AKT3 PE=3 SV=1	Neomonachus schauinslandi	484	2537	98.6	99.0	0.0
156	TR	A0ABI7WVA3	non-specific serine/threonine protein kinase OS=Felis catus OX=9685 GN=AKT3 PE=3 SV=1	Felis catus	479	2537	99.4	99.8	0.0
157	TR	A0A8C8X3Y6	non-specific serine/threonine protein kinase OS=Panthera leo OX=9689 GN=AKT3 PE=3 SV=1	Panthera leo	479	2537	99.4	99.8	0.0
158	TR	A0A6J1YBT8	non-specific serine/threonine protein kinase OS=Acinonyx jubatus OX=32536 GN=AKT3 PE=3 SV=1	Acinonyx jubatus	479	2537	99.4	99.8	0.0
159	TR	A0A6P5JUM9	non-specific serine/threonine protein kinase OS=Phascolarctos cinereus OX=38626 GN=AKT3 PE=3 SV=1	Phascolarctos cinereus	486	2534	98.4	98.4	0.0
160	TR	Q6NXW0	non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Akt3 PE=2 SV=1	Mus musculus	479	2533	99.2	99.6	0.0
161	TR	A0A5F9D4W9	non-specific serine/threonine protein kinase OS=Oryctolagus cuniculus OX=9986 GN=AKT3 PE=3 SV=1	Oryctolagus cuniculus	511	2533	99.8	100.0	0.0
162	SP	Q63484	RAC-gamma serine/threonine-protein kinase OS=Rattus norvegicus OX=10116 GN=Akt3 PE=2 SV=2	Rattus norvegicus	479	2533	99.2	99.4	0.0
163	TR	A0A673T342	non-specific serine/threonine protein kinase OS=Suricata suricatta OX=37032 GN=AKT3 PE=3 SV=1	Suricata suricatta	479	2532	99.2	99.6	0.0
164	TR	A0A1S3FA88	non-specific serine/threonine protein kinase OS=Dipodomys ordii OX=10020 GN=Akt3 PE=3 SV=1	Dipodomys ordii	479	2530	99.2	99.6	0.0
165	TR	A0A670ICS1	non-specific serine/threonine protein kinase OS=Podarcis muralis OX=64176 GN=AKT3 PE=3 SV=1	Podarcis muralis	499	2521	95.6	96.0	0.0
166	TR	A0ACE2VUZ1	Uncharacterized protein OS=Lepidochelys olivacea OX=27788 GN=ACLRTO_LOCUS5341 PE=4 SV=1	Lepidochelys olivacea	499	2521	95.8	95.8	0.0
167	TR	A0ACE2ZSM3	Uncharacterized protein OS=Lepidochelys kempii OX=8472 GN=ACLRTL_LOCUS17078 PE=4 SV=1	Lepidochelys kempii	499	2521	95.8	95.8	0.0
168	TR	A0ACE2WB23	Uncharacterized protein OS=Caretta caretta OX=8467 GN=ACLRTB_LOCUS6872 PE=4 SV=1	Caretta caretta	499	2521	95.8	95.8	0.0
169	TR	A0AA97JAU7	non-specific serine/threonine protein kinase OS=Eublepharis macularius OX=481883 GN=AKT3 PE=3 SV=1	Eublepharis macularius	499	2521	95.8	95.8	0.0
170	TR	A0A4D9E4R4	non-specific serine/threonine protein kinase OS=Platysternon megacephalum OX=55544 GN=DR999_PMT14389 PE=3 SV=1	Platysternon megacephalum	499	2521	95.8	95.8	0.0
171	TR	A0A9D3X487	non-specific serine/threonine protein kinase OS=Mauremys mutica OX=74926 GN=KIL84_016425 PE=3 SV=1	Mauremys mutica	499	2521	95.8	95.8	0.0
172	TR	A0A8C3C6A8	non-specific serine/threonine protein kinase OS=Cairina moschata OX=8855 PE=3 SV=1	Cairina moschata	482	2518	98.1	99.0	0.0
173	TR	A0AAD8GBL3	non-specific serine/threonine protein kinase OS=Acipenser oxyrinchus oxyrinchus OX=40147 GN=AKT3 PE=3 SV=1	Acipenser oxyrinchus oxyrinchus	479	2510	97.7	98.7	0.0
174	TR	A0ABR0ZVI7	non-specific serine/threonine protein kinase OS=Huso huso OX=61971 GN=HHUSO_G7759 PE=3 SV=1	Huso huso	479	2503	97.1	98.5	0.0
175	TR	A0AAD8LLU4	non-specific serine/threonine protein kinase OS=Acipenser oxyrinchus oxyrinchus OX=40147 GN=AKT3 PE=3 SV=1	Acipenser oxyrinchus oxyrinchus	479	2503	97.1	98.5	0.0
176	TR	A0ACF8NRC1	Uncharacterized protein (Fragment) OS=Nasalis larvatus OX=43780 GN=H8958_014984 PE=4 SV=1	Nasalis larvatus	479	2496	98.1	99.4	0.0
177	TR	A0A9L0QZY4	non-specific serine/threonine protein kinase OS=Equus caballus OX=9796 PE=3 SV=1	Equus caballus	495	2495	98.1	99.2	0.0
178	TR	A0A9W2WLZ7	non-specific serine/threonine protein kinase OS=Physeter macrocephalus OX=9755 GN=AKT3 PE=3 SV=1	Physeter macrocephalus	531	2495	90.2	90.2	0.0
179	TR	A0A9L0T870	non-specific serine/threonine protein kinase OS=Equus caballus OX=9796 PE=3 SV=1	Equus caballus	496	2490	97.9	98.5	0.0
180	TR	W5K689	non-specific serine/threonine protein kinase OS=Astyanax mexicanus OX=7994 PE=3 SV=1	Astyanax mexicanus	479	2489	96.7	98.5	0.0
181	TR	A0A8C9AFH9	non-specific serine/threonine protein kinase OS=Prolemur simus OX=1328070 GN=AKT3 PE=3 SV=1	Prolemur simus	475	2489	98.5	99.2	0.0
182	TR	A0ABN9ZX24	non-specific serine/threonine protein kinase OS=Pipistrellus nathusii OX=59473 GN=MPIPNATIZW_LOCUS10484 PE=3 SV=1	Pipistrellus nathusii	477	2488	97.9	98.5	0.0
183	TR	A0A7J7TNX1	non-specific serine/threonine protein kinase OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_000527 PE=3 SV=1	Pipistrellus kuhlii	477	2488	97.9	98.5	0.0
184	TR	A0A2K6DT01	non-specific serine/threonine protein kinase OS=Macaca nemestrina OX=9545 PE=3 SV=1	Macaca nemestrina	471	2488	98.7	99.4	0.0
185	TR	A0A8D1TZL5	non-specific serine/threonine protein kinase OS=Sus scrofa OX=9823 GN=AKT3 PE=1 SV=1	Sus scrofa	500	2488	99.1	99.6	0.0
186	TR	A0A2K6AA83	non-specific serine/threonine protein kinase OS=Mandrillus leucophaeus OX=9568 PE=3 SV=1	Mandrillus leucophaeus	471	2488	98.7	99.4	0.0
187	TR	A0A2K5M326	non-specific serine/threonine protein kinase OS=Cercocebus atys OX=9531 PE=3 SV=1	Cercocebus atys	471	2488	98.7	99.4	0.0
188	TR	F6R8M1	non-specific serine/threonine protein kinase OS=Macaca mulatta OX=9544 GN=AKT3 PE=3 SV=2	Macaca mulatta	473	2488	99.1	99.6	0.0
189	TR	A0A8C9WL33	non-specific serine/threonine protein kinase OS=Scleropages formosus OX=113540 GN=akt3a PE=3 SV=1	Scleropages formosus	479	2487	96.2	98.7	0.0
190	TR	A0A7J7RTZ6	non-specific serine/threonine protein kinase OS=Myotis myotis OX=51298 GN=mMyoMyo1_000538 PE=3 SV=1	Myotis myotis	477	2487	97.9	98.5	0.0
191	TR	A0A8C5T1Q4	non-specific serine/threonine protein kinase OS=Malurus cyaneus samueli OX=2593467 PE=3 SV=1	Malurus cyaneus samueli	475	2486	97.9	98.3	0.0
192	TR	A0AAN9H268	non-specific serine/threonine protein kinase OS=Phoxinus phoxinus OX=58324 GN=R3I93_012938 PE=3 SV=1	Phoxinus phoxinus	479	2485	96.0	98.5	0.0
193	TR	A0A4W5NX33	non-specific serine/threonine protein kinase OS=Hucho hucho OX=62062 PE=3 SV=1	Hucho hucho	480	2485	96.2	98.8	0.0
194	TR	A0A9W3HBS5	non-specific serine/threonine protein kinase OS=Camelus bactrianus OX=9837 GN=AKT3 PE=3 SV=1	Camelus bactrianus	514	2485	100.0	100.0	0.0
195	TR	A0A8B8RY51	non-specific serine/threonine protein kinase OS=Camelus ferus OX=419612 GN=AKT3 PE=3 SV=1	Camelus ferus	498	2485	100.0	100.0	0.0
196	TR	A0A8B8RWU6	non-specific serine/threonine protein kinase OS=Camelus ferus OX=419612 GN=AKT3 PE=3 SV=1	Camelus ferus	514	2485	100.0	100.0	0.0
197	TR	A0A8C9AJF9	non-specific serine/threonine protein kinase OS=Prolemur simus OX=1328070 GN=AKT3 PE=3 SV=1	Prolemur simus	491	2485	98.5	98.7	0.0
198	TR	A0A8T0BYC4	non-specific serine/threonine protein kinase OS=Silurus meridionalis OX=175797 GN=HF521_009508 PE=3 SV=1	Silurus meridionalis	479	2484	96.5	98.5	0.0
199	TR	A0A2D0QMC9	non-specific serine/threonine protein kinase OS=Ictalurus punctatus OX=7998 GN=akt3a PE=3 SV=1	Ictalurus punctatus	479	2484	96.5	98.5	0.0
200	TR	A0ACC5Y4S8	non-specific serine/threonine protein kinase OS=Pangasius djambal OX=1691987 GN=PDJAM_G00188010 PE=3 SV=1	Pangasius djambal	479	2484	96.5	98.5	0.0
201	TR	A0A5N5PQD1	non-specific serine/threonine protein kinase OS=Pangasianodon hypophthalmus OX=310915 GN=PHYPO_G00180820 PE=3 SV=1	Pangasianodon hypophthalmus	479	2484	96.5	98.5	0.0
202	TR	X5D2W7	non-specific serine/threonine protein kinase OS=Ctenopharyngodon idella OX=7959 PE=2 SV=1	Ctenopharyngodon idella	479	2484	96.0	98.5	0.0
203	TR	A0ACC5WCI2	non-specific serine/threonine protein kinase OS=Pangasianodon gigas OX=30993 GN=PGIGA_G00190140 PE=3 SV=1	Pangasianodon gigas	479	2484	96.5	98.5	0.0
204	TR	A0A2K5JHB9	non-specific serine/threonine protein kinase OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	471	2484	98.5	99.4	0.0
205	TR	D9IL79	non-specific serine/threonine protein kinase OS=Danio rerio OX=7955 GN=akt3a PE=2 SV=1	Danio rerio	479	2483	95.8	98.5	0.0
206	TR	A0ACM8QM32	RAC-gamma serine/threonine-protein kinase OS=Danio rerio OX=7955 GN=akt3a PE=4 SV=1	Danio rerio	479	2483	95.8	98.5	0.0
207	TR	A0A8B9FHE4	non-specific serine/threonine protein kinase OS=Amazona collaria OX=241587 PE=3 SV=1	Amazona collaria	487	2483	98.9	100.0	0.0
208	TR	A0A452G1K3	non-specific serine/threonine protein kinase OS=Capra hircus OX=9925 GN=AKT3 PE=3 SV=1	Capra hircus	481	2483	97.5	97.9	0.0
209	TR	A0A2I3M3E9	non-specific serine/threonine protein kinase OS=Papio anubis OX=9555 PE=3 SV=2	Papio anubis	472	2483	99.6	99.6	0.0
210	TR	A0A2I3T6D0	non-specific serine/threonine protein kinase OS=Pan troglodytes OX=9598 GN=AKT3 PE=3 SV=1	Pan troglodytes	467	2482	99.8	100.0	0.0
211	TR	H0XFB6	non-specific serine/threonine protein kinase OS=Otolemur garnettii OX=30611 PE=3 SV=1	Otolemur garnettii	479	2482	97.1	98.7	0.0
212	TR	A0ACI6S1M8	Uncharacterized protein OS=Ovis aries OX=9940 GN=AKT3 PE=4 SV=1	Ovis aries	481	2482	99.8	100.0	0.0
213	TR	A0A7L1GAC5	non-specific serine/threonine protein kinase (Fragment) OS=Indicator maculatus OX=545262 GN=Akt3 PE=3 SV=1	Indicator maculatus	479	2481	97.5	98.5	0.0
214	TR	A0ACE3CIH1	Uncharacterized protein OS=Leuciscus chuanchicus OX=3231064 GN=LCH_LOCUS27740 PE=4 SV=1	Leuciscus chuanchicus	479	2481	95.8	98.5	0.0
215	TR	A0AAX6PJ91	non-specific serine/threonine protein kinase OS=Heterocephalus glaber OX=10181 GN=Akt3 PE=3 SV=1	Heterocephalus glaber	490	2481	99.6	99.8	0.0
216	TR	A0AAX6TJ86	non-specific serine/threonine protein kinase OS=Heterocephalus glaber OX=10181 GN=Akt3 PE=3 SV=1	Heterocephalus glaber	474	2481	99.8	100.0	0.0
217	TR	A0A6J3BN79	non-specific serine/threonine protein kinase OS=Vicugna pacos OX=30538 GN=AKT3 PE=3 SV=1	Vicugna pacos	555	2481	99.6	99.8	0.0
218	TR	A0ABM3TVJ7	non-specific serine/threonine protein kinase OS=Balaenoptera acutorostrata OX=9767 GN=AKT3 PE=3 SV=1	Balaenoptera acutorostrata	501	2481	99.6	99.8	0.0
219	TR	A0A384CDR6	non-specific serine/threonine protein kinase OS=Ursus maritimus OX=29073 GN=AKT3 PE=3 SV=1	Ursus maritimus	474	2481	98.7	99.6	0.0
220	TR	A0A6B0QYW4	non-specific serine/threonine protein kinase OS=Bos mutus OX=72004 GN=E5288_WYG004852 PE=3 SV=1	Bos mutus	577	2481	99.8	100.0	0.0
221	TR	A0ABN8ZZC6	non-specific serine/threonine protein kinase OS=Rangifer tarandus platyrhynchus OX=3082113 GN=MRATA1EN1_LOCUS28304 PE=3 SV=1	Rangifer tarandus platyrhynchus	514	2481	98.9	99.6	0.0
222	TR	A0ABC9WNU6	non-specific serine/threonine protein kinase OS=Grus japonensis OX=30415 GN=GRJ2_001178900 PE=3 SV=1	Grus japonensis	512	2480	98.9	99.8	0.0
223	TR	A0A9D3QHM5	non-specific serine/threonine protein kinase OS=Megalops atlanticus OX=7932 GN=MATL_G00020210 PE=3 SV=1	Megalops atlanticus	479	2480	96.2	98.5	0.0
224	TR	A0A7K7UUA3	non-specific serine/threonine protein kinase (Fragment) OS=Eudromia elegans OX=8805 GN=Akt3 PE=3 SV=1	Eudromia elegans	476	2480	97.7	98.7	0.0
225	TR	A0A7K5HLJ4	non-specific serine/threonine protein kinase (Fragment) OS=Crotophaga sulcirostris OX=33598 GN=Akt3 PE=3 SV=1	Crotophaga sulcirostris	475	2480	97.5	98.5	0.0
226	TR	A0A3P8Y9Q5	non-specific serine/threonine protein kinase OS=Esox lucius OX=8010 PE=3 SV=1	Esox lucius	480	2480	96.0	98.8	0.0
227	TR	A0A9L0JEV0	non-specific serine/threonine protein kinase OS=Equus asinus OX=9793 GN=AKT3 PE=3 SV=1	Equus asinus	468	2480	100.0	100.0	0.0
228	TR	A0A2K6DSY8	non-specific serine/threonine protein kinase OS=Macaca nemestrina OX=9545 PE=3 SV=1	Macaca nemestrina	464	2480	100.0	100.0	0.0
229	TR	A0ABM4QNT6	non-specific serine/threonine protein kinase OS=Bos indicus OX=9915 GN=AKT3 PE=3 SV=1	Bos indicus	466	2480	100.0	100.0	0.0
230	TR	A0A2K6AA77	non-specific serine/threonine protein kinase OS=Mandrillus leucophaeus OX=9568 PE=3 SV=1	Mandrillus leucophaeus	464	2480	100.0	100.0	0.0
231	TR	A0A0D9RAE4	non-specific serine/threonine protein kinase OS=Chlorocebus sabaeus OX=60711 PE=3 SV=1	Chlorocebus sabaeus	473	2480	100.0	100.0	0.0
232	TR	A0A9L0SPA7	non-specific serine/threonine protein kinase OS=Equus caballus OX=9796 PE=3 SV=1	Equus caballus	499	2480	100.0	100.0	0.0
233	TR	A0A8C3VNF9	non-specific serine/threonine protein kinase OS=Catagonus wagneri OX=51154 GN=AKT3 PE=3 SV=1	Catagonus wagneri	492	2480	100.0	100.0	0.0
234	TR	A0A2I3SF21	non-specific serine/threonine protein kinase OS=Pan troglodytes OX=9598 GN=AKT3 PE=3 SV=1	Pan troglodytes	464	2480	100.0	100.0	0.0
235	TR	A0A8I5T6X8	non-specific serine/threonine protein kinase OS=Pongo abelii OX=9601 GN=AKT3 PE=3 SV=1	Pongo abelii	477	2480	100.0	100.0	0.0
236	TR	A0AAA9SPW6	non-specific serine/threonine protein kinase OS=Bos taurus OX=9913 GN=AKT3 PE=3 SV=1	Bos taurus	469	2480	100.0	100.0	0.0
237	TR	A0AAA9T7A6	non-specific serine/threonine protein kinase OS=Bos taurus OX=9913 GN=AKT3 PE=3 SV=1	Bos taurus	466	2480	100.0	100.0	0.0
238	TR	A0A674IV52	non-specific serine/threonine protein kinase OS=Terrapene triunguis OX=2587831 GN=AKT3 PE=3 SV=1	Terrapene triunguis	474	2479	99.1	99.6	0.0
239	TR	A0A7K9YYA3	non-specific serine/threonine protein kinase (Fragment) OS=Odontophorus gujanensis OX=886794 GN=Akt3 PE=3 SV=1	Odontophorus gujanensis	479	2479	97.5	98.7	0.0
240	TR	A0A099ZAC9	non-specific serine/threonine protein kinase (Fragment) OS=Tinamus guttatus OX=94827 GN=N309_02502 PE=3 SV=1	Tinamus guttatus	475	2478	97.7	98.7	0.0
241	TR	A0A9D3P856	non-specific serine/threonine protein kinase OS=Hemibagrus wyckioides OX=337641 GN=KOW79_002639 PE=3 SV=1	Hemibagrus wyckioides	479	2478	96.2	98.3	0.0
242	TR	A0A7K8XWH7	non-specific serine/threonine protein kinase (Fragment) OS=Eubucco bourcierii OX=91767 GN=Akt3 PE=3 SV=1	Eubucco bourcierii	474	2478	97.9	98.5	0.0
243	TR	A0ACM7HDA6	RAC-gamma serine/threonine-protein kinase isoform X1 OS=Callorhinus ursinus OX=34884 GN=AKT3 PE=4 SV=1	Callorhinus ursinus	489	2478	98.9	99.6	0.0
244	TR	A0A2K5E2U9	non-specific serine/threonine protein kinase OS=Aotus nancymaae OX=37293 PE=3 SV=1	Aotus nancymaae	468	2478	99.1	99.6	0.0
245	TR	A0A7M4G0G1	non-specific serine/threonine protein kinase OS=Crocodylus porosus OX=8502 GN=AKT3 PE=3 SV=1	Crocodylus porosus	493	2477	99.8	100.0	0.0
246	TR	A0A7M4F786	non-specific serine/threonine protein kinase OS=Crocodylus porosus OX=8502 GN=AKT3 PE=3 SV=1	Crocodylus porosus	474	2477	99.8	100.0	0.0
247	TR	A0A9D3RHV7	non-specific serine/threonine protein kinase OS=Anguilla anguilla OX=7936 GN=ANANG_G00300730 PE=3 SV=1	Anguilla anguilla	598	2477	95.6	98.5	0.0
248	TR	A0A2K6U3V6	non-specific serine/threonine protein kinase OS=Saimiri boliviensis boliviensis OX=39432 PE=3 SV=1	Saimiri boliviensis boliviensis	465	2477	99.8	99.8	0.0
249	TR	A0ACB9URZ3	non-specific serine/threonine protein kinase OS=Ovis ammon polii x Ovis aries OX=2918886 GN=MJG53_011040 PE=3 SV=1	Ovis ammon polii x Ovis aries	503	2477	99.6	99.6	0.0
250	TR	A0A8C5VAP3	non-specific serine/threonine protein kinase OS=Microcebus murinus OX=30608 GN=AKT3 PE=3 SV=1	Microcebus murinus	472	2477	99.2	99.4	0.0
